[FRAME] SC01-日程 375x958 @(2309,14114) bg=#FFFFFF
  [RECTANGLE] Rectangle 44 375x957 @(0,1) bg=#F2F3F5
  [FRAME] Container 240xhug_contents @(0,0.30078125)
  [INSTANCE] 底部导航 375x83 @(0,875)
  [FRAME] Container 375x60 @(0,44)
    [FRAME] Button - 页面操作 44x44 @(auto,auto) bg=#FFFFFF r=22 stroke=#151617
      [FRAME] SVG 20x20 @(auto,auto)
    [FRAME] Container 247xhug_contents @(64,18)
      [TEXT] 日程 hug_contentsxhug_contents @(auto,auto) bg=#151617 TEXT="日程" fs=17 color=#151617
    [FRAME] Button:margin
  [GROUP] Group 49 343x44 @(16,114)
    [RECTANGLE] Rectangle 64 343x44 @(16,114) bg=#FFFFFF
    [RECTANGLE] Rectangle 65 112x40 @(18,116) bg=#121212
    [TEXT] 今日 26x18 @(61,127) bg=#FFFFFF TEXT="今日" fs=13 color=#FFFFFF
    [GROUP] Group 48 112x40 @(132,116)
      [RECTANGLE] Rectangle 66 112x40 @(132,116) bg=#FFFFFF
      [TEXT] 本周 26x18 @(175,126) bg=#666666 TEXT="本周" fs=13 color=#666666
      [FRAME] Container hug_contentsxhug_contents @(204,126.5)
    [RECTANGLE] Rectangle 67 112x40 @(245,116) bg=#FFFFFF
    [TEXT] 可约档期 52x18 @(275,127) bg=#666666 TEXT="可约档期" fs=13 color=#666666
  [FRAME] Container 343xhug_contents @(16,178)
    [FRAME] Container hug_contentsxhug_contents @(auto,auto)
      [TEXT] 8月8日 周六 · 今日 hug_contentsxhug_contents @(auto,auto) bg=#151617 TEXT="8月8日 周六 · 今日" fs=15 color=#151617
    [FRAME] Margin fill_containerxhug_contents @(auto,auto)
      [FRAME] Background hug_contentsxhug_contents @(auto,auto) bg=#E6E7EB r=999
  [FRAME] Background+Border+Shadow 343x172 @(14,212) bg=#FFFFFF r=16
    [FRAME] Container 309xhug_contents @(17,16)
      [FRAME] Container hug_contentsxhug_contents @(auto,auto)
      [FRAME] Background hug_contentsxhug_contents @(auto,auto) bg=#FFF3D6 r=999
    [FRAME] Margin 309xhug_contents @(17,50)
      [FRAME] Container fill_containerx18 @(auto,auto)
    [FRAME] Container 309x20 @(17,78)
      [TEXT] 越秀公园 · 2.5h hug_contentsxhug_contents @(auto,auto) bg=#666666 TEXT="越秀公园 · 2.5h" fs=13 color=#666666
    [GROUP] Group 59 150x44 @(17,108)
      [RECTANGLE] Rectangle 103 150x44 @(17,108) bg=#FFFFFF stroke=#C8C8C8
      [TEXT] 导航 30x21 @(77,120) bg=#666666 TEXT="导航" fs=15 color=#666666
    [GROUP] Group 60 150x44 @(177,108)
      [RECTANGLE] Rectangle 98 150x44 @(177,108) bg=#121212
      [TEXT] 开始拍摄 60x21 @(222,120) bg=#FFFFFF TEXT="开始拍摄" fs=15 color=#FFFFFF
  [FRAME] Background+Border+Shadow 343x172 @(14,404) bg=#FFFFFF r=16
    [FRAME] Container 309xhug_contents @(17,16)
      [FRAME] Container hug_contentsxhug_contents @(auto,auto)
      [FRAME] Background hug_contentsxhug_contents @(auto,auto) bg=#E6E7EB r=999
    [FRAME] Margin 309xhug_contents @(17,50)
      [FRAME] Container fill_containerx18 @(auto,auto)
    [FRAME] Container 309x20 @(17,78)
      [TEXT] 越秀公园 · 2.5h hug_contentsxhug_contents @(auto,auto) bg=#666666 TEXT="越秀公园 · 2.5h" fs=13 color=#666666
    [GROUP] Group 59 150x44 @(17,108)
      [RECTANGLE] Rectangle 103 150x44 @(17,108) bg=#FFFFFF stroke=#C8C8C8
      [TEXT] 联系客户 60x21 @(62,120) bg=#666666 TEXT="联系客户" fs=15 color=#666666
  [FRAME] Section 343x61 @(16,586) bg=#E6E7EB r=14
    [FRAME] SVG 13x13 @(16,15)
      [VECTOR] Vector 10.833333969116211x10.833333969116211 @(1.083333134651184,1.083333134651184) bg=#666666
    [FRAME] Paragraph 291xhug_contents @(37,12)
      [TEXT] 两场间隔 1.5h · 越秀公园→天河工作室转场约 40 分钟，时间可控 fill_containerxhug_contents @(auto,auto) bg=#666666 TEXT="两场间隔 1.5h · 越秀公园→天河工作室转场约 40 分钟，时间可控" fs=12 color=#666666
  [TEXT] 空闲时段 60x20 @(18,667) bg=#151617 TEXT="空闲时段" fs=15 color=#151617
  [FRAME] Background+Border+Shadow 343x70 @(16,697) bg=#FFFFFF r=16
    [FRAME] Container 311x21 @(16,14)
      [TEXT] 16:00 - 18:00 空闲 311x18 @(0,1) bg=#333333 TEXT="16:00 - 18:00 空闲" fs=13 color=#333333
    [FRAME] Container 311x21 @(16,35)
      [TEXT] 可临时接单或处理后期 311x18 @(0,1) bg=#666666 TEXT="可临时接单或处理后期" fs=13 color=#666666
    [FRAME] Background hug_contentsxhug_contents @(287,24) bg=#E5F6ED r=999
      [TEXT] 可约 hug_contentsxhug_contents @(auto,auto) bg=#20845C TEXT="可约" fs=11 color=#20845C
  [FRAME] Background+Border+Shadow 343xhug_contents @(16,787) bg=#FFFFFF r=16
    [FRAME] Container fill_containerxhug_contents @(auto,auto)
      [FRAME] SVG 20x20 @(auto,auto)
      [FRAME] Container fill_containerxhug_contents @(auto,auto)
      [FRAME] SVG 16x16 @(auto,auto)
  [INSTANCE] Iphone 375x44 @(0,0) bg=#FFFFFF
  [INSTANCE] Iphone 375x34 @(0,924) bg=#FFFFFF
